MaNganh,NganhHoc,ToHopMonXetTuyen,"PT1_DT2,3",PT1_DT4,PT2,PT3_Nhom1,PT3_Nhom2,PT3_Nhom3
7140201,Giáo dục Mầm non,"M00, M01, M26, M27, M28, M29, M30",,,822,23.48,,
7140202,Giáo dục Tiểu học,"B03, C01, C02, C03, C04, D01",28.03,26.57,804,23.01,,23.28
7140205,Giáo dục Chính trị,"A00, A01, C00, C01, D01, X70, X78",28.88,28.19,894,25.3,28,25.13
7140209,Sư phạm Toán học,"A00, A01, C01, D01, D07",29.18,28.68,936,26.33,,25.95
7140211,Sư phạm Vật lý,"A00, A01, A02, A03, A04, C01, X05, X06, A06, B00, C02, D07",28.88,28.19,894,25.32,,25.18
7140212,Sư phạm Hóa học,"X10, C00, C03, D14, D15, X70",28.78,27.84,880,24.92,,24.75
7140217,Sư phạm Ngữ văn,"X74, A07, C00, C03, D09, D14",28.65,27.72,870,24.71,27.68,24.65
7140218,Sư phạm Lịch sử,"X17, X70, A07, C00, C04, D10, D15",29.13,,931,26.28,28.75,25.83
7140219,Sư phạm Địa lý,"X74, A01, D01, D09, D10, X26",28.97,,913,25.91,28.25,25.53
7140231,Sư phạm Tiếng Anh,"X27, X28",28.06,26.61,808,23.08,,
7140213,Sư phạm Sinh học,"A02, B00, B02, B03, B08, X14",28.27,,824,23.49,,
7140247,Sư phạm Khoa học tự nhiên,"A00, A01, A02, A03, B00, C01, A07, C00, C03, D14, X70",28.57,27.62,859,24.48,,24.4
7140249,Sư phạm Lịch sử - Địa lý,"X74, A00, A01, D01, X01, X27",28.79,,884,25.01,27.75,24.87
7340101,Quản trị kinh doanh,"X28, A00, A01, D01, X01, X27",24.87,,600,16.5,,
7340115,Marketing,"X28, A00, A01, D01, X01, X27",25.03,,600,17,,
7340201,Tài chính - Ngân hàng,"X28, A00, A01, D01, X01, X27",24.53,,600,16,,
7340301,Kế toán,"X28, A01, D01, D07, D09, D10",24.87,24.26,600,16.5,,
7380101,Luật,"X25, A00, B00, C02, X04, X20",26.18,,720,19,,
7420201,Công nghệ sinh học,"X28, X65, X81, A00, A01, C01, D01, X06",24.53,,500,16,,16.25
7480103,Kỹ thuật phần mềm,"A00, A01, C01, D01, X06, X26",24.53,24.26,500,16,,16.25
7480201,Công nghệ thông tin,"A00, A01, C01, D01, D07, X06",24.53,,500,16,,16.25
7510406,Công nghệ kỹ thuật môi trường,"A05, B00, B03, C01, C02, C04",24.67,,501,16.2,,16.75
7510401,Công nghệ kỹ thuật hoá học,"A00, A05, A06, B00, C01, D07, C02, D01",24.53,,500,16,,16.25
7540101,Công nghệ thực phẩm,"D07, X12, X65, A00, A05, A06, C02, C08",24.53,24.26,500,16,,16.25
7540104,Công nghệ sau thu hoạch,"D01, D07, X12, A00, A05, A06, C02, C08",24.53,,500,16,,16.25
7540106,Đảm bảo chất lượng và an toàn thực phẩm,"D01, D07, X12, A00, A05, B03, C04",24.53,,500,16,,16.25
7620105,Chăn nuôi,"X12, X28, X65, A00, A06, B00, B02, C02",24.53,,500,16,16.25,4
7620110,Khoa học cây trồng,"C04, D07, X08, A00, A06, B00, B02, C02",24.53,,500,16,,16.25
7620112,Bảo vệ thực vật,"C04, D07, X08, A07, B02, C00, C08",24.53,,500,16,,16.25
7620116,Phát triển nông thôn,"D01, D07, X28, A00, B00, B02, B08, C08",24.53,,500,16,17.75,16.25
7620301,Nuôi trồng thủy sản,"D01, D10, X81, A07, C02, C04, C08",24.53,,500,16,,16.25
7620191,Kinh doanh nông nghiệp số,"D07, X26, X28, A00, A01, B00, B08, D01",24.53,,500,16,,16.25
7620190,Công nghệ nông nghiệp số,"D07, X24, X26, A00, A01, D01, X01, X27",24.53,,500,16,,
7310106,Kinh tế quốc tế,X28,24.53,,500,16,,
7310630,Việt Nam học,"C00, C03, D01, D14, D15",26.57,24.26,656,19.8,23.13,20.75
7220201,Ngôn ngữ Anh,"A01, D01, D09, D10, X26, X27, X28, C00, C03, D14, D15, X70",24.82,24.26,513,16.34,,
7229030,Văn học,"X74, A00, A01, C00, C01, D01",27.89,,789,22.72,26,23.04
7229001,Triết học,"X70, X80, X81, A05, A06, B00, B02, C04",27.4,,729,21.52,24.8,22.04
7850101,Quản lý tài nguyên và môi trường,"D01, A00, B02, B03, C02, D07",24.53,,500,16,,16.25
7640101,Thú y,"X12, X28, X65",25.5,,595,18.5,,19.5
,,,,,,,,
"Chú thích: Phương thức 1 (PT1): Xét tuyển thẳng 6 - ĐT2: thí sinh giỏi, tài năng trong học tập của các trường THPT (01 học sinh thuộc nhóm 05 học sinh có điểm trung bình cộng học lực 03 năm THPT cao nhất được Hiệu trưởng (hoặc Phó Hiệu trưởng được ủy quyền) của trường mà thí sinh theo học giới thiệu); - ĐT3: thí sinh học đủ ba năm và tốt nghiệp THPT tại các trường thuộc danh sách 149 trường ưu tiên xét tuyển vào ĐHQG-HCM; - ĐT4: thí sinh có chứng chỉ ngoại ngữ theo quy định. Phương thức 2 (PT2): Xét tuyển dựa trên kết quả kỳ thi Đánh giá năng lực do Đại học Quốc gia TP. HCM tổ chức năm 2025. Phương thức 3 (PT3): Xét tuyển dựa trên kết quả thi tốt nghiệp THPT năm 2025. - Nhóm 1: Tổ hợp A00, A02, X01, X06, X08, X10, A01, A03, A04, A05, A06, A07, X05, X24, X26, B00, B02, B03, B08, X04, X12, X14, X20, X65, D01, D07, D09, D10, D14, D15, X25, X27, X28, X78, X80, X81, M00, M01, M26, M27, M28, M29, M30; - Nhóm 2: Tổ hợp C00; - Nhóm 3: Tổ hợp C01, C02, C03, C04, C08, X17, X70, X74.",,,,,,,,
